,Language,Case Count,% of Cases,% Limited English Proficiency
0,Spanish,"32,665",14.1*%,6.4
1,Marshallese,333,0.1*%,0.1
2,Vietnamese,"1,134",0.5*%,0.5
3,Russian,"1,403",0.6*%,0.3
4,Chinese (all),395,0.2*%,0.3
5,Ukrainian,269,0.1*%,0.2
6,Somali,336,0.1*%,0.1
7,Tagalog,149,0.1*%,0.1
8,Amharic,190,0.1*%,0.1
9,Other,"2,172",0.9*%,
