,Movie,Year,Duration (min),Genre,IMDb,Votes,Gross (Mill)
82,Sunset Blvd.,1950,115,"Drama, Film-Noir",8.4,199315,-
83,The Great Dictator,1940,125,"Comedy, Drama, War",8.4,200746,0.29
84,1917,2019,119,"Drama, War",8.3,395976,159.23
85,Tumbbad,2018,104,"Drama, Fantasy, Horror",8.3,26402,-
86,Andhadhun,2018,139,"Crime, Drama, Music",8.3,69237,1.37
87,Drishyam,2013,160,"Crime, Drama, Thriller",8.3,30313,-
88,The Hunt,2012,115,Drama,8.3,275592,0.69
89,A Separation,2011,123,Drama,8.3,217300,7.1
90,Incendies,2010,131,"Drama, Mystery, War",8.3,146720,6.86
91,7 Kogustaki Mucize,2019,132,Drama,8.3,31444,-
92,My Father and My Son,2005,112,"Drama, Family",8.3,77627,-
93,Toy Story 3,2010,103,"Animation, Adventure, Comedy",8.3,749152,415
94,Inglourious Basterds,2009,153,"Adventure, Drama, War",8.3,1249921,120.54
95,Eternal Sunshine of the Spotless Mind,2004,108,"Drama, Romance, Sci-Fi",8.3,902288,34.4
96,Amélie,2001,122,"Comedy, Romance",8.3,697535,33.23
97,Snatch,2000,102,"Comedy, Crime",8.3,774673,30.33
98,Requiem for a Dream,2000,102,Drama,8.3,758706,3.64
99,American Beauty,1999,122,Drama,8.3,1060339,130.1
100,Good Will Hunting,1997,126,"Drama, Romance",8.3,850649,138.43
101,Children of Heaven,1997,89,"Drama, Family, Sport",8.3,64089,0.93
102,Toy Story,1995,81,"Animation, Adventure, Comedy",8.3,876923,191.8
103,Braveheart,1995,178,"Biography, Drama, History",8.3,951061,75.6
104,Reservoir Dogs,1992,99,"Crime, Drama, Thriller",8.3,908585,2.83
105,Full Metal Jacket,1987,116,"Drama, War",8.3,667940,46.36
106,Come and See,1985,142,"Drama, Thriller, War",8.3,57130,-
107,Aliens,1986,137,"Action, Adventure, Sci-Fi",8.3,647110,85.16
108,Amadeus,1984,160,"Biography, Drama, History",8.3,365549,51.97
109,Scarface,1983,170,"Crime, Drama",8.3,732046,45.6
110,Star Wars: Episode VI - Return of the Jedi,1983,131,"Action, Adventure, Fantasy",8.3,939319,309.13
111,Das Boot,1981,149,"Adventure, Drama, Thriller",8.3,229549,11.49
112,Taxi Driver,1976,114,"Crime, Drama",8.3,715173,28.26
113,The Sting,1973,129,"Comedy, Crime, Drama",8.3,239218,159.6
114,A Clockwork Orange,1971,136,"Crime, Drama, Sci-Fi",8.3,750457,6.21
115,2001: A Space Odyssey,1968,149,"Adventure, Sci-Fi",8.3,596692,56.95
116,For a Few Dollars More,1965,132,Western,8.3,230052,15
117,Lawrence of Arabia,1962,228,"Adventure, Biography, Drama",8.3,265144,44.82
118,The Apartment,1960,125,"Comedy, Drama, Romance",8.3,162086,18.6
119,North by Northwest,1959,136,"Adventure, Mystery, Thriller",8.3,296028,13.28
120,Vertigo,1958,128,"Mystery, Romance, Thriller",8.3,359925,3.2
121,Singin' in the Rain,1952,103,"Comedy, Musical, Romance",8.3,216258,8.82
122,Ikiru,1952,143,Drama,8.3,67256,0.06
123,Bicycle Thieves,1948,89,Drama,8.3,144375,0.33
124,Double Indemnity,1944,110,"Crime, Drama, Film-Noir",8.3,141954,5.72
125,Citizen Kane,1941,119,"Drama, Mystery",8.3,395779,1.59
126,M,1931,99,"Crime, Mystery, Thriller",8.3,141809,0.03
127,Metropolis,1927,153,"Drama, Sci-Fi",8.3,158443,1.24
128,The Kid,1921,68,"Comedy, Drama, Family",8.3,111575,5.45
129,Chhichhore,2019,143,"Comedy, Drama",8.2,31996,0.9
130,Uri: The Surgical Strike,2018,138,"Action, Drama, War",8.2,42486,4.19
131,K.G.F: Chapter 1,2018,156,"Action, Drama",8.2,33858,-
132,Green Book,2018,130,"Biography, Comedy, Drama",8.2,358405,85.08
133,"Three Billboards Outside Ebbing, Missouri",2017,115,"Comedy, Crime, Drama",8.2,421874,54.51
134,Talvar,2015,132,"Crime, Drama, Mystery",8.2,30659,0.34
135,Baahubali 2: The Conclusion,2017,167,"Action, Drama",8.2,74037,20.19
136,Klaus,2019,96,"Animation, Adventure, Comedy",8.2,81542,-
137,Drishyam,2015,163,"Crime, Drama, Mystery",8.2,68472,0.74
138,Queen,2013,146,"Adventure, Comedy, Drama",8.2,60188,1.43
139,Tangerines,2013,87,"Drama, War",8.2,39056,0.14
140,Bhaag Milkha Bhaag,2013,186,"Biography, Drama, Sport",8.2,60443,1.63
141,Gangs of Wasseypur,2012,321,"Action, Crime, Drama",8.2,80784,-
142,Udaan,2010,134,Drama,8.2,41989,0.01
143,Paan Singh Tomar,2012,135,"Action, Biography, Crime",8.2,32884,0.04
144,The Secret in Their Eyes,2009,129,"Drama, Mystery, Romance",8.2,190817,6.39
145,Warrior,2011,140,"Action, Drama, Sport",8.2,432201,13.66
146,Shutter Island,2010,138,"Mystery, Thriller",8.2,1114190,128.01
147,Up,2009,96,"Animation, Adventure, Comedy",8.2,924108,293
148,The Wolf of Wall Street,2013,180,"Biography, Crime, Drama",8.2,1163721,116.9
149,Chak De! India,2007,153,"Drama, Family, Sport",8.2,73301,1.11
150,There Will Be Blood,2007,158,Drama,8.2,510861,40.22
151,Pan's Labyrinth,2006,118,"Drama, Fantasy, War",8.2,613458,37.63
152,V for Vendetta,2005,132,"Action, Drama, Sci-Fi",8.2,1022975,70.51
153,Rang De Basanti,2006,167,"Comedy, Crime, Drama",8.2,110692,2.2
154,Black,2005,122,Drama,8.2,33151,0.73
155,Batman Begins,2005,140,"Action, Adventure",8.2,1294723,206.85
156,Swades,2004,189,Drama,8.2,82270,1.22
157,Downfall,2004,156,"Biography, Drama, History",8.2,328390,5.51
158,Howl's Moving Castle,2004,119,"Animation, Adventure, Family",8.2,327355,4.71
159,A Beautiful Mind,2001,135,"Biography, Drama",8.2,839148,170.74
160,Hera Pheri,2000,156,"Action, Comedy, Crime",8.2,56207,-
161,"Lock, Stock and Two Smoking Barrels",1998,107,"Action, Comedy, Crime",8.2,530375,3.9
162,L.A. Confidential,1997,138,"Crime, Drama, Mystery",8.2,527207,64.62
163,The Bandit,1996,128,"Crime, Drama, Thriller",8.2,63156,-
164,Heat,1995,170,"Crime, Drama, Thriller",8.2,570093,67.44
165,Casino,1995,178,"Crime, Drama",8.2,460515,42.44
166,Andaz Apna Apna,1994,160,"Action, Comedy, Romance",8.2,48886,-
167,Unforgiven,1992,130,"Drama, Western",8.2,372141,101.16
168,Indiana Jones and the Last Crusade,1989,127,"Action, Adventure",8.2,685598,197.17
169,My Neighbor Totoro,1988,86,"Animation, Family, Fantasy",8.2,285471,1.11
170,Die Hard,1988,132,"Action, Thriller",8.2,776517,83.01
171,Ran,1985,162,"Action, Drama, War",8.2,111054,4.14
172,Raging Bull,1980,129,"Biography, Drama, Sport",8.2,318447,23.38
173,Stalker,1979,162,"Drama, Sci-Fi",8.2,114822,0.23
174,Autumn Sonata,1978,99,"Drama, Music",8.2,25361,-
175,The Message,1976,177,"Biography, Drama, History",8.2,43518,-
176,Sholay,1975,162,"Action, Adventure, Comedy",8.2,50811,-
177,Monty Python and the Holy Grail,1975,91,"Adventure, Comedy, Fantasy",8.2,496899,1.23
178,The Great Escape,1963,172,"Adventure, Drama, History",8.2,222424,12.1
179,To Kill a Mockingbird,1962,129,"Crime, Drama",8.2,291672,-
180,Yojimbo,1961,110,"Action, Drama, Thriller",8.2,109712,-
181,Judgment at Nuremberg,1961,179,"Drama, War",8.2,68642,-
182,Some Like It Hot,1959,121,"Comedy, Music, Romance",8.2,241237,25
183,Wild Strawberries,1957,91,"Drama, Romance",8.2,94797,-
184,The Seventh Seal,1957,96,"Drama, Fantasy",8.2,162423,-
185,Rififi,1955,118,"Crime, Drama, Thriller",8.2,27882,0.06
186,Dial M for Murder,1954,105,"Crime, Thriller",8.2,156291,0.01
187,Tokyo Story,1953,136,Drama,8.2,52087,-
188,Rashomon,1950,88,"Crime, Drama, Mystery",8.2,150740,0.1
189,All About Eve,1950,138,Drama,8.2,119464,0.01
190,The Treasure of the Sierra Madre,1948,126,"Adventure, Drama, Western",8.2,113157,5.01
191,To Be or Not to Be,1942,99,"Comedy, War",8.2,28992,-
192,The Gold Rush,1925,95,"Adventure, Comedy, Drama",8.2,99580,5.45
193,Sherlock Jr.,1924,45,"Action, Comedy, Romance",8.2,41048,0.98
194,Portrait of a Lady on Fire,2019,122,"Drama, Romance",8.1,57415,3.76
195,Pink,-,136,"Drama, Thriller",8.1,38527,1.24
196,A Silent Voice: The Movie,2016,130,"Animation, Drama, Family",8.1,44666,-
197,The Invisible Guest,2016,106,"Crime, Drama, Mystery",8.1,134605,-
198,The Handmaiden,2016,145,"Drama, Romance, Thriller",8.1,109508,2.01
199,Mommy,-,139,Drama,8.1,49803,3.49
200,Haider,2014,160,"Action, Crime, Drama",8.1,49998,0.9
201,Logan,2017,137,"Action, Drama, Sci-Fi",8.1,638659,226.28
202,Room,-,118,"Drama, Thriller",8.1,364958,14.68
203,Wild Tales,2014,122,"Comedy, Drama, Thriller",8.1,174171,3.11
204,Winter Sleep,2014,196,Drama,8.1,45215,0.17
205,Baahubali: The Beginning,2015,159,"Action, Drama",8.1,101657,6.74
206,Gully Boy,2019,153,"Drama, Music",8.1,30962,5.57
207,PK,2014,153,"Comedy, Drama, Musical",8.1,160361,10.62
208,OMG: Oh My God!,2012,125,"Comedy, Drama, Fantasy",8.1,50953,0.92
209,The Grand Budapest Hotel,2014,99,"Adventure, Comedy, Crime",8.1,697889,59.1
210,Gone Girl,2014,149,"Drama, Mystery, Thriller",8.1,847454,167.77
211,Wolf Children,2012,117,"Animation, Drama, Family",8.1,38154,-
212,Hacksaw Ridge,2016,139,"Biography, Drama, History",8.1,427801,67.21
213,Inside Out,-,95,"Animation, Adventure, Comedy",8.1,603584,356.46
214,Barfi!,2012,151,"Comedy, Drama, Romance",8.1,74982,2.8
215,12 Years a Slave,2013,134,"Biography, Drama, History",8.1,633086,56.67
216,Rush,-,123,"Action, Biography, Drama",8.1,428391,26.95
217,Ford v Ferrari,2019,152,"Action, Biography, Drama",8.1,276276,117.62
