,Movie,Year,Duration (min),Genre,IMDb,Votes,Gross (Mill)
369,The Return,2003,110,Drama,8,41954,0.5
370,"Spring, Summer, Fall, Winter... and Spring",2003,103,"Drama, Romance",8,76486,2.38
371,The Sea Inside,-,126,"Biography, Drama",8,77003,2.09
372,Cinderella Man,2005,144,"Biography, Drama, History",8,174853,61.65
373,Kal ho naa ho,2003,186,"Comedy, Drama, Musical",8,62779,1.79
374,Infernal Affairs,2002,101,"Action, Crime, Drama",8,117223,0.17
375,Pirates of the Caribbean: The Curse of the Black Pearl,2003,143,"Action, Adventure, Fantasy",8,1008796,305.41
376,Big Fish,2003,125,"Adventure, Drama, Fantasy",8,412407,66.26
377,The Incredibles,2004,115,"Animation, Action, Adventure",8,650387,261.44
378,My Sassy Girl,2001,137,"Comedy, Drama, Romance",8,45100,-
379,Dogville,2003,178,"Crime, Drama",8,136638,1.53
380,Vizontele,2001,110,"Comedy, Drama",8,32897,-
381,Donnie Darko,2001,113,"Drama, Mystery, Sci-Fi",8,734658,1.48
382,"Monsters, Inc.",2001,92,"Animation, Adventure, Comedy",8,806087,289.92
383,Magnolia,1999,188,Drama,8,287365,22.46
384,Dancer in the Dark,2000,140,"Crime, Drama, Musical",8,101251,4.18
385,Mulholland Drive,2001,147,"Drama, Mystery, Thriller",8,317875,7.22
386,The Straight Story,1999,112,"Biography, Drama",8,81026,6.2
387,Perfect Blue,1997,81,"Animation, Crime, Mystery",8,56447,0.78
388,The Celebration,1998,105,Drama,8,77290,1.65
389,Central Station,1998,110,Drama,8,36009,5.6
390,The Iron Giant,1999,86,"Animation, Action, Adventure",8,170419,23.16
391,Knockin' on Heaven's Door,1997,87,"Action, Crime, Comedy",8,27424,0
392,Sling Blade,1996,135,Drama,8,86324,24.48
393,Secrets & Lies,1996,136,"Comedy, Drama",8,37082,13.42
394,12 Monkeys,1995,129,"Mystery, Sci-Fi, Thriller",8,573431,57.14
395,Ghost in the Shell,1995,83,"Animation, Action, Crime",8,127552,0.52
396,The Nightmare Before Christmas,1993,76,"Animation, Family, Fantasy",8,295051,75.08
397,Groundhog Day,1993,101,"Comedy, Fantasy, Romance",8,573904,70.91
398,"Blood In, Blood Out",1993,180,"Crime, Drama",8,28605,4.5
399,Scent of a Woman,1992,156,Drama,8,259356,63.9
400,Aladdin,1992,90,"Animation, Adventure, Comedy",8,370690,217.35
401,JFK,1991,189,"Drama, History, Thriller",8,140644,70.41
402,Beauty and the Beast,1991,84,"Animation, Family, Fantasy",8,414271,218.97
403,Dances with Wolves,1990,181,"Adventure, Drama, Western",8,237714,184.21
404,Do the Right Thing,1989,120,"Comedy, Drama",8,88130,27.55
405,Rain Man,1988,133,Drama,8,469195,178.8
406,Akira,1988,124,"Animation, Action, Sci-Fi",8,162719,0.55
407,The Princess Bride,1987,98,"Adventure, Family, Fantasy",8,390222,30.86
408,Wings of Desire,1987,128,"Drama, Fantasy, Romance",8,63948,3.33
409,Au Revoir les Enfants,1987,104,"Drama, War",8,30880,4.54
410,Castle in the Sky,1986,125,"Animation, Adventure, Drama",8,148011,-
411,The Terminator,1984,107,"Action, Sci-Fi",8,794014,38.4
412,Gandhi,1982,191,"Biography, Drama, History",8,216546,52.77
413,Kagemusha,1980,162,"Drama, History, War",8,31820,-
414,Being There,1979,130,"Comedy, Drama",8,64974,30.18
415,Annie Hall,1977,93,"Comedy, Romance",8,250288,39.2
416,All the President's Men,1976,138,"Biography, Drama, History",8,101512,70.6
417,Jaws,1975,124,"Adventure, Thriller",8,540278,260
418,Dog Day Afternoon,1975,125,"Biography, Crime, Drama",8,233572,50
419,Young Frankenstein,1974,106,Comedy,8,142248,86.3
420,Papillon,1973,151,"Biography, Crime, Drama",8,120706,53.27
421,The Exorcist,1973,122,Horror,8,359940,232.91
422,Sleuth,1972,138,"Mystery, Thriller",8,44469,4.08
423,The Last Picture Show,1971,118,"Drama, Romance",8,41903,29.13
424,Fiddler on the Roof,1971,181,"Drama, Family, Musical",8,38949,80.5
425,The Conformist,1970,113,Drama,8,26687,0.54
426,Butch Cassidy and the Sundance Kid,1969,110,"Biography, Crime, Drama",8,200608,102.31
427,Rosemary's Baby,1968,137,"Drama, Horror",8,191608,-
428,Planet of the Apes,1968,115,"Adventure, Sci-Fi",8,164233,33.4
429,The Graduate,1967,106,"Comedy, Drama, Romance",8,251939,104.95
430,Who's Afraid of Virginia Woolf?,1966,131,Drama,8,68490,-
431,The Sound of Music,1965,172,"Biography, Drama, Family",8,200964,163.21
432,Doctor Zhivago,1965,197,"Drama, Romance, War",8,69066,111.72
433,A Fistful of Dollars,1964,99,"Action, Drama, Western",8,195967,14.5
434,8½,1963,138,Drama,8,107830,0.05
435,Vivre Sa Vie,1962,85,Drama,8,27531,-
436,The Hustler,1961,134,"Drama, Sport",8,74601,8.28
437,La Dolce Vita,1960,174,"Comedy, Drama",8,65763,19.52
438,Rio Bravo,1959,141,"Action, Drama, Western",8,55653,12.54
439,Anatomy of a Murder,1959,161,"Crime, Drama, Mystery",8,59262,11.9
440,Touch of Evil,1958,95,"Crime, Drama, Film-Noir",8,97782,2.24
441,Cat on a Hot Tin Roof,1958,108,Drama,8,44576,17.57
442,The Killing,1956,84,"Crime, Drama, Film-Noir",8,80847,-
443,The Night of the Hunter,1955,92,"Crime, Drama, Film-Noir",8,81144,0.65
444,La Strada,1954,108,Drama,8,57773,-
445,Diabolique,1955,117,"Crime, Drama, Horror",8,61096,-
446,Stalag 17,1953,120,"Comedy, Drama, War",8,50760,-
447,Roman Holiday,1953,118,"Comedy, Romance",8,126193,-
448,A Streetcar Named Desire,1951,122,Drama,8,98256,8
449,In a Lonely Place,1950,94,"Drama, Film-Noir, Mystery",8,26237,-
450,Kind Hearts and Coronets,1949,106,"Comedy, Crime",8,34150,-
451,Rope,1948,80,"Crime, Drama, Mystery",8,128272,-
452,Out of the Past,1947,97,"Crime, Drama, Film-Noir",8,32400,-
453,Brief Encounter,1945,86,"Drama, Romance",8,35167,-
454,Laura,1944,88,"Drama, Film-Noir, Mystery",8,42303,4.36
455,The Best Years of Our Lives,1946,170,"Drama, Romance, War",8,56868,23.65
456,Arsenic and Old Lace,1944,118,"Comedy, Crime, Thriller",8,64645,-
457,The Maltese Falcon,1941,100,"Film-Noir, Mystery",8,147873,2.11
458,The Grapes of Wrath,1940,129,"Drama, History",8,85160,0.06
459,The Wizard of Oz,1939,102,"Adventure, Family, Fantasy",8,369065,2.08
460,The Rules of the Game,1939,110,"Comedy, Drama",8,26460,-
461,The Thin Man,1934,91,"Comedy, Crime, Mystery",8,26157,-
462,All Quiet on the Western Front,1930,152,"Drama, War",8,56900,3.27
463,Battleship Potemkin,1925,66,"Drama, History, Thriller",8,52561,0.05
464,Knives Out,2019,130,"Comedy, Crime, Drama",7.9,422204,165.36
465,Dil Bechara,2020,101,"Comedy, Drama, Romance",7.9,108311,-
466,Call Me by Your Name,2017,132,"Drama, Romance",7.9,206494,18.1
467,"I, Daniel Blake",2016,100,Drama,7.9,52736,0.26
468,Isle of Dogs,2018,101,"Animation, Adventure, Comedy",7.9,136105,32.02
469,Dunkirk,2017,106,"Action, Drama, History",7.9,544232,188.37
470,Hunt for the Wilderpeople,2016,101,"Adventure, Comedy, Drama",7.9,108482,5.2
471,Captain Fantastic,2016,118,"Comedy, Drama",7.9,186046,5.88
472,Sing Street,2016,106,"Comedy, Drama, Music",7.9,84107,3.24
473,Thor: Ragnarok,2017,130,"Action, Adventure, Comedy",7.9,576760,315.06
474,Nightcrawler,2014,117,"Crime, Drama, Thriller",7.9,458219,32.38
475,Jojo Rabbit,2019,108,"Comedy, Drama, War",7.9,280081,0.35
476,Arrival,-,116,"Drama, Sci-Fi",7.9,585695,100.55
477,Star Wars: Episode VII - The Force Awakens,2015,138,"Action, Adventure, Sci-Fi",7.9,852629,936.66
478,Before Midnight,2013,109,"Drama, Romance",7.9,139260,8.11
479,X-Men: Days of Future Past,2014,132,"Action, Adventure, Sci-Fi",7.9,655449,233.92
480,Once Upon a Time in Anatolia,2011,157,"Crime, Drama",7.9,40863,0.14
481,The Artist,-,100,"Comedy, Drama, Romance",7.9,229171,44.67
482,Edge of Tomorrow,2014,113,"Action, Adventure, Sci-Fi",7.9,593662,100.21
483,Amour,2012,127,"Drama, Romance",7.9,92222,6.74
484,The Irishman,2019,209,"Biography, Crime, Drama",7.9,315282,7
485,A Prophet,2009,155,"Crime, Drama",7.9,92853,2.08
486,Moon,2009,97,"Drama, Mystery, Sci-Fi",7.9,332816,5.01
487,Let the Right One In,2008,114,"Crime, Drama, Fantasy",7.9,204526,2.12
488,District 9,2009,112,"Action, Sci-Fi, Thriller",7.9,634749,115.65
489,The Wrestler,2008,109,"Drama, Sport",7.9,287982,26.24
490,Jab We Met,2007,138,"Comedy, Drama, Romance",7.9,47183,0.41
491,The Trial of the Chicago 7,2020,129,"Drama, History, Thriller",7.9,65221,-
492,Boyhood,-,165,Drama,7.9,333374,25.38
493,"4 Months, 3 Weeks and 2 Days",2007,113,Drama,7.9,56147,1.19
494,Star Trek,2009,127,"Action, Adventure, Sci-Fi",7.9,574712,257.73
495,In Bruges,2008,107,"Comedy, Crime, Drama",7.9,387449,7.76
496,The Man from Earth,2007,87,"Drama, Fantasy, Sci-Fi",7.9,172598,-
497,Letters from Iwo Jima,2006,141,"Action, Adventure, Drama",7.9,153193,13.76
498,The Fall,2006,117,"Adventure, Drama, Fantasy",7.9,106689,2.28
499,Life of Pi,2012,127,"Adventure, Drama, Fantasy",7.9,575750,124.99
500,Fantastic Mr. Fox,2009,87,"Animation, Adventure, Comedy",7.9,196168,21
501,C.R.A.Z.Y.,2005,129,"Comedy, Drama",7.9,31334,-
502,The Chorus,2004,97,"Drama, Music",7.9,56878,3.64
503,Iron Man,2008,126,"Action, Adventure, Sci-Fi",7.9,930362,318.41
504,Shaun of the Dead,2004,99,"Comedy, Horror",7.9,508067,13.54
505,Head-On,2004,121,"Drama, Romance",7.9,50873,-
506,Mystic River,2003,138,"Crime, Drama, Mystery",7.9,415668,90.14
507,Harry Potter and the Prisoner of Azkaban,2004,142,"Adventure, Family, Fantasy",7.9,543712,249.36
508,Hero,2002,120,"Action, Adventure, History",7.9,173144,53.71
509,Talk to Her,2002,112,"Drama, Mystery, Romance",7.9,103891,9.28
510,No Man's Land,-,98,"Comedy, Drama, War",7.9,44324,1.06
511,Cowboy Bebop: The Movie,2001,115,"Animation, Action, Crime",7.9,42502,1
512,The Bourne Identity,2002,119,"Action, Mystery, Thriller",7.9,504447,121.66
513,Nine Queens,2000,114,"Crime, Drama, Thriller",7.9,49331,1.22
514,Children of Men,2006,109,"Adventure, Drama, Sci-Fi",7.9,461711,35.55
515,Almost Famous,2000,122,"Adventure, Comedy, Drama",7.9,250493,32.53
516,Toy Story 2,1999,92,"Animation, Adventure, Comedy",7.9,521653,245.85
517,Boogie Nights,1997,155,Drama,7.9,236901,26.4
518,Whisper of the Heart,1995,111,"Animation, Drama, Family",7.9,50623,-
519,Once Were Warriors,1994,102,"Crime, Drama",7.9,31300,2.2
520,True Romance,1993,119,"Crime, Drama, Romance",7.9,204996,12.28
521,Three Colors: Blue,1993,94,"Drama, Music, Mystery",7.9,88155,1.32
522,Ninja Scroll,1993,94,"Animation, Action, Adventure",7.9,34246,-
523,Carlito's Way,1993,144,"Crime, Drama, Thriller",7.9,199041,36.95
524,Edward Scissorhands,1990,105,"Drama, Fantasy, Romance",7.9,443362,56.36
525,My Left Foot,1989,103,"Biography, Drama",7.9,67220,14.74
526,Crimes and Misdemeanors,1989,104,"Comedy, Drama",7.9,54197,18.25
527,The Untouchables,1987,119,"Crime, Drama, Thriller",7.9,278207,76.27
528,Hannah and Her Sisters,1986,107,"Comedy, Drama",7.9,66611,40.08
529,Brazil,1985,132,"Drama, Sci-Fi",7.9,186234,9.93
530,This Is Spinal Tap,1984,82,"Comedy, Music",7.9,127772,0.19
531,A Christmas Story,1983,93,"Comedy, Family",7.9,128573,20.61
532,The Blues Brothers,1980,133,"Action, Adventure, Comedy",7.9,181244,57.23
533,Manhattan,1979,96,"Comedy, Drama, Romance",7.9,130461,45.7
534,All That Jazz,1979,123,"Drama, Music, Musical",7.9,27846,37.82
535,Dawn of the Dead,1978,127,"Action, Adventure, Horror",7.9,110804,5.1
536,The Holy Mountain,1973,114,"Adventure, Drama, Fantasy",7.9,36279,0.06
537,Amarcord,1973,123,"Comedy, Drama",7.9,39456,-
538,The Discreet Charm of the Bourgeoisie,1972,102,Comedy,7.9,38067,0.2
539,"Aguirre, the Wrath of God",1972,95,"Action, Adventure, Biography",7.9,51799,-
540,Harold and Maude,1971,91,"Comedy, Drama, Romance",7.9,70241,-
541,Patton,1970,172,"Biography, Drama, War",7.9,93214,61.7
542,The Wild Bunch,1969,135,"Action, Adventure, Western",7.9,76837,12.06
543,Night of the Living Dead,1968,96,"Horror, Thriller",7.9,115649,0.09
544,The Lion in Winter,1968,134,"Biography, Drama, History",7.9,28720,22.28
545,In the Heat of the Night,1967,110,"Crime, Drama, Mystery",7.9,67088,24.38
546,Charade,1963,113,"Comedy, Mystery, Romance",7.9,67590,13.47
547,The Manchurian Candidate,1962,126,"Drama, Thriller",7.9,70748,-
548,Spartacus,1960,197,"Adventure, Biography, Drama",7.9,123338,30
549,L'Avventura,1960,144,"Drama, Mystery",7.9,26177,-
550,Hiroshima Mon Amour,1959,90,"Drama, Romance",7.9,27992,0.09
551,The Ten Commandments,1956,220,"Adventure, Drama",7.9,62999,93.74
552,The Searchers,1956,119,"Adventure, Drama, Western",7.9,79493,-
553,East of Eden,1955,118,Drama,7.9,39892,-
554,High Noon,1952,85,"Drama, Thriller, Western",7.9,96465,9.45
555,Strangers on a Train,1951,101,"Crime, Film-Noir, Thriller",7.9,122436,7.63
556,Harvey,1950,104,"Comedy, Drama, Fantasy",7.9,52302,-
557,Miracle on 34th Street,1947,96,"Comedy, Drama, Family",7.9,39588,2.65
558,Notorious,1946,102,"Drama, Film-Noir, Romance",7.9,91515,10.46
559,The Big Sleep,1946,114,"Crime, Film-Noir, Mystery",7.9,78232,6.54
560,The Lost Weekend,1945,101,"Drama, Film-Noir",7.9,33229,9.46
561,The Philadelphia Story,1940,112,"Comedy, Romance",7.9,62827,-
562,His Girl Friday,1940,92,"Comedy, Drama, Romance",7.9,53009,0.3
563,Bringing Up Baby,1938,102,"Comedy, Family, Romance",7.9,54531,-
564,The Adventures of Robin Hood,1938,102,"Action, Adventure, Romance",7.9,46819,3.98
565,A Night at the Opera,1935,96,"Comedy, Music, Musical",7.9,30292,2.54
566,King Kong,1933,100,"Adventure, Horror, Sci-Fi",7.9,78300,10
567,Freaks,1932,64,"Drama, Horror",7.9,41811,-
568,Nosferatu,1922,94,"Fantasy, Horror",7.9,88105,-
569,The Gentlemen,2019,113,"Action, Comedy, Crime",7.8,209685,-
570,The Salesman,2016,124,"Drama, Thriller",7.8,50155,2.4
571,Perfect Strangers,2016,96,"Comedy, Drama",7.8,55870,-
572,Hidden Figures,2016,127,"Biography, Drama, History",7.8,197342,169.61
573,Paddington 2,2017,103,"Adventure, Comedy, Family",7.8,59548,40.44
574,Udta Punjab,2016,148,"Action, Crime, Drama",7.8,26782,-
575,Kubo and the Two Strings,2016,101,"Animation, Action, Adventure",7.8,116713,48.02
576,M.S. Dhoni: The Untold Story,2016,184,"Biography, Drama, Sport",7.8,39028,1.78
577,Manchester by the Sea,2016,137,Drama,7.8,243130,47.7
578,Land of Mine,2015,100,"Drama, History, War",7.8,34882,0.44
579,Rogue One: A Star Wars Story,2016,133,"Action, Adventure, Sci-Fi",7.8,546656,532.18
580,Captain America: Civil War,2016,147,"Action, Adventure, Sci-Fi",7.8,654465,408.08
581,The Hateful Eight,2015,168,"Crime, Drama, Mystery",7.8,508167,54.12
582,Little Women,2019,135,"Drama, Romance",7.8,133352,108.1
583,Loving Vincent,2017,94,"Animation, Biography, Crime",7.8,49775,6.74
584,Pride,-,119,"Biography, Comedy, Drama",7.8,51251,-
585,The Past,2013,130,"Drama, Mystery",7.8,44619,1.33
586,The Great Beauty,2013,141,Drama,7.8,80088,2.85
587,The Lunchbox,2013,104,"Drama, Romance",7.8,49844,4.23
588,Vicky Donor,2012,126,"Comedy, Romance",7.8,39345,0.17
589,Big Hero 6,2014,102,"Animation, Action, Adventure",7.8,406219,222.53
590,About Time,-,123,"Comedy, Drama, Fantasy",7.8,296430,15.32
591,English Vinglish,2012,134,"Comedy, Drama, Family",7.8,33225,1.67
592,The Broken Circle Breakdown,2012,111,"Drama, Music, Romance",7.8,39063,0.18
593,The Wind Rises,2013,126,"Animation, Biography, Drama",7.8,72106,5.21
594,Toy Story 4,2019,100,"Animation, Adventure, Comedy",7.8,196356,434.04
595,The Best Offer,2013,131,"Crime, Drama, Mystery",7.8,106877,0.09
596,Moonrise Kingdom,2012,94,"Comedy, Drama, Romance",7.8,315655,45.51
597,How to Train Your Dragon 2,2014,102,"Animation, Action, Adventure",7.8,302234,177
598,The Big Short,2015,130,"Biography, Comedy, Drama",7.8,355996,70.26
599,Confessions,2010,106,"Drama, Thriller",7.8,35375,-
600,I Saw the Devil,2010,144,"Action, Crime, Drama",7.8,109267,0.13
601,The Girl with the Dragon Tattoo,2011,158,"Crime, Drama, Mystery",7.8,416929,102.52
602,Captain Phillips,2013,134,"Adventure, Biography, Crime",7.8,416798,107.1
603,The Man from Nowhere,2010,119,"Action, Crime, Drama",7.8,62026,0.01
604,Straight Outta Compton,2015,147,"Biography, Drama, History",7.8,177836,161.2
605,Mother,2009,129,"Crime, Drama, Mystery",7.8,51064,0.55
606,The Chaser,2008,125,"Action, Crime, Thriller",7.8,57529,-
607,The Hobbit: The Desolation of Smaug,2013,161,"Adventure, Fantasy",7.8,595808,258.37
608,The White Ribbon,2009,144,"Drama, History, Mystery",7.8,68122,2.22
609,The Girl with the Dragon Tattoo,2009,152,"Crime, Drama, Mystery",7.8,207637,10.1
610,The Fighter,-,116,"Biography, Drama, Sport",7.8,337485,93.62
611,Taken,-,90,"Action, Thriller",7.8,561706,145
612,The Boy in the Striped Pajamas,2008,94,"Drama, War",7.8,188487,9.03
613,Once,-,86,"Drama, Music, Romance",7.8,110000,9.44
614,The Hobbit: An Unexpected Journey,2012,169,"Adventure, Fantasy",7.8,751336,303
615,The Edge of Heaven,2007,122,Drama,7.8,30585,0.74
616,Atonement,2007,123,"Drama, Mystery, Romance",7.8,248299,50.93
617,Drive,-,100,"Crime, Drama",7.8,565573,35.06
618,American Gangster,2007,157,"Biography, Crime, Drama",7.8,388154,130.16
619,Avatar,2009,162,"Action, Adventure, Fantasy",7.8,1110667,760.51
620,Mr. Nobody,2009,141,"Drama, Fantasy, Romance",7.8,214394,0
621,Apocalypto,2006,139,"Action, Adventure, Drama",7.8,288908,50.87
622,Little Miss Sunshine,2006,101,"Comedy, Drama",7.8,436288,59.89
623,Hot Fuzz,2007,121,"Action, Comedy, Mystery",7.8,459441,23.64
624,The Curious Case of Benjamin Button,2008,166,"Drama, Fantasy, Romance",7.8,582822,127.51
625,Veer-Zaara,2004,192,"Drama, Family, Musical",7.8,48529,2.92
626,Adam's Apples,2005,94,"Comedy, Crime, Drama",7.8,45116,0
627,Pride & Prejudice,2005,129,"Drama, Romance",7.8,254046,38.41
628,The World's Fastest Indian,2005,127,"Biography, Drama, Sport",7.8,51662,5.13
629,Tokyo Godfathers,2003,92,"Animation, Adventure, Comedy",7.8,30564,0.13
630,Serenity,2005,119,"Action, Adventure, Sci-Fi",7.8,281808,25.51
631,Walk the Line,2005,136,"Biography, Drama, Music",7.8,232134,119.52
632,Evil,2003,113,Drama,7.8,35416,0.02
633,The Notebook,2004,123,"Drama, Romance",7.8,514905,81
634,The Motorcycle Diaries,2004,126,"Adventure, Biography, Drama",7.8,96091,16.76
635,Lilya 4-Ever,2002,109,"Crime, Drama",7.8,42345,0.18
636,The Triplets of Belleville,2003,80,"Animation, Comedy, Drama",7.8,50302,7
637,Joint Security Area,2000,110,"Action, Drama, Thriller",7.8,26127,-
638,The Count of Monte Cristo,2002,131,"Action, Adventure, Drama",7.8,128060,54.23
639,Waking Life,2001,100,"Animation, Drama, Fantasy",7.8,60349,2.89
640,Remember the Titans,2000,113,"Biography, Drama, Sport",7.8,196305,115.65
641,"Crouching Tiger, Hidden Dragon",2000,120,"Action, Adventure, Fantasy",7.8,251372,128.08
642,All About My Mother,1999,101,Drama,7.8,88289,8.26
643,Cast Away,2000,143,"Adventure, Drama, Romance",7.8,517521,233.63
644,The Boondock Saints,1999,108,"Action, Crime, Thriller",7.8,226079,0.03
645,The Insider,1999,157,"Biography, Drama, Thriller",7.8,158590,28.97
646,October Sky,1999,108,"Biography, Drama, Family",7.8,81875,32.48
647,Shrek,2001,90,"Animation, Adventure, Comedy",7.8,607683,267.67
648,Titanic,1997,194,"Drama, Romance",7.8,1035185,659.33
649,Fireworks,1997,103,"Crime, Drama, Romance",7.8,27405,0.23
650,Gattaca,1997,106,"Drama, Sci-Fi, Thriller",7.8,278637,12.34
651,The Game,1997,129,"Action, Drama, Mystery",7.8,341298,48.32
652,Breaking the Waves,1996,159,Drama,7.8,61840,4.04
653,Ed Wood,1994,127,"Biography, Comedy, Drama",7.8,164153,5.89
654,What's Eating Gilbert Grape,1993,118,Drama,7.8,212664,9.17
655,Tombstone,1993,130,"Action, Biography, Drama",7.8,125187,56.51
656,The Sandlot,1993,101,"Comedy, Drama, Family",7.8,78215,32.42
657,The Remains of the Day,1993,134,"Drama, Romance",7.8,65115,22.95
658,Naked,1993,132,"Comedy, Drama",7.8,34055,1.77
659,The Fugitive,1993,130,"Action, Crime, Drama",7.8,264946,183.88
660,A Bronx Tale,1993,121,"Crime, Drama, Romance",7.8,126801,17.27
661,Batman: Mask of the Phantasm,1993,76,"Animation, Action, Crime",7.8,43162,5.62
662,Hard Boiled,1992,128,"Action, Crime, Thriller",7.8,46375,-
663,Night on Earth,1991,129,"Comedy, Drama",7.8,54723,2.02
664,The Double Life of Véronique,1991,98,"Drama, Fantasy, Music",7.8,41538,2
665,Boyz n the Hood,1991,112,"Crime, Drama",7.8,124521,57.5
666,Misery,1990,107,"Drama, Thriller",7.8,182344,61.28
667,Awakenings,1990,121,"Biography, Drama",7.8,122989,52.1
668,Kiki's Delivery Service,1989,103,"Animation, Adventure, Drama",7.8,121466,-
669,Glory,1989,122,"Biography, Drama, History",7.8,121185,26.83
670,The Killer,1989,111,"Action, Crime, Drama",7.8,45366,-
671,Back to the Future Part II,1989,108,"Adventure, Comedy, Sci-Fi",7.8,476047,118.5
672,Mississippi Burning,1988,128,"Crime, Drama, History",7.8,87221,34.6
673,Predator,1987,107,"Action, Adventure, Sci-Fi",7.8,368386,59.74
674,Evil Dead II,1987,84,"Action, Comedy, Fantasy",7.8,147197,5.92
675,Ferris Bueller's Day Off,1986,103,Comedy,7.8,318502,70.14
676,Down by Law,1986,107,"Comedy, Crime, Drama",7.8,47418,1.44
677,The Goonies,1985,114,"Adventure, Comedy, Family",7.8,241728,61.5
678,The Color Purple,1985,154,Drama,7.8,77563,98.47
679,The Breakfast Club,1985,97,"Comedy, Drama",7.8,353915,45.88
680,The Killing Fields,1984,141,"Biography, Drama, History",7.8,51151,34.7
681,Ghostbusters,1984,105,"Action, Comedy, Fantasy",7.8,352102,238.63
682,The Right Stuff,1983,193,"Adventure, Biography, Drama",7.8,55733,21.5
683,The King of Comedy,1982,109,"Comedy, Crime, Drama",7.8,86668,2.5
684,E.T. the Extra-Terrestrial,1982,115,"Family, Sci-Fi",7.8,368074,435.11
685,Kramer vs. Kramer,1979,105,Drama,7.8,131803,106.26
686,Halloween,1978,91,"Horror, Thriller",7.8,231195,47
687,Days of Heaven,1978,94,"Drama, Romance",7.8,52086,-
688,The Outlaw Josey Wales,1976,135,Western,7.8,64965,31.8
689,The Man Who Would Be King,1975,129,"Adventure, History, War",7.8,44250,-
690,The Conversation,1974,113,"Drama, Mystery, Thriller",7.8,97148,4.42
691,The Day of the Jackal,1973,143,"Crime, Drama, Thriller",7.8,37041,16.06
692,Badlands,1973,94,"Action, Crime, Drama",7.8,65181,-
693,Cabaret,1972,124,"Drama, Music, Musical",7.8,47856,42.77
694,Willy Wonka & the Chocolate Factory,1971,100,"Family, Fantasy, Musical",7.8,176594,4
695,Midnight Cowboy,1969,113,Drama,7.8,99989,44.79
696,Wait Until Dark,1967,108,Thriller,7.8,27506,17.55
697,Guess Who's Coming to Dinner,1967,108,"Comedy, Drama",7.8,39109,56.7
698,Bonnie and Clyde,1967,111,"Action, Biography, Crime",7.8,101346,-
699,My Fair Lady,1964,170,"Drama, Family, Musical",7.8,85662,72
700,Mary Poppins,1964,139,"Comedy, Family, Fantasy",7.8,156190,102.27
701,The Longest Day,1962,178,"Action, Drama, History",7.8,51852,39.1
702,Jules and Jim,1962,105,"Drama, Romance",7.8,37097,-
703,The Innocents,1961,100,Horror,7.8,26729,2.62
704,Breathless,1960,90,"Crime, Drama",7.8,72340,0.34
705,Red River,1948,133,"Action, Adventure, Drama",7.8,27870,-
706,Key Largo,1948,100,"Action, Crime, Drama",7.8,36718,-
707,To Have and Have Not,1944,100,"Adventure, Comedy, Film-Noir",7.8,30708,-
708,Shadow of a Doubt,1943,108,"Film-Noir, Thriller",7.8,58932,-
709,Stagecoach,1939,96,"Adventure, Drama, Western",7.8,43044,-
710,The Lady Vanishes,1938,96,"Mystery, Thriller",7.8,46871,-
711,Bride of Frankenstein,1935,75,"Drama, Horror, Sci-Fi",7.8,43133,4.36
712,Duck Soup,1933,69,"Comedy, Musical, War",7.8,55294,-
713,Scarface,1932,93,"Action, Crime, Drama",7.8,25038,-
714,Frankenstein,1931,70,"Drama, Horror, Sci-Fi",7.8,64720,-
715,Tenet,2020,150,"Action, Sci-Fi",7.7,165061,53.8
716,Roma,2018,135,Drama,7.7,137784,-
717,Deadpool 2,2018,119,"Action, Adventure, Comedy",7.7,470457,324.59
718,Wind River,2017,107,"Crime, Drama, Mystery",7.7,199429,33.8
719,Get Out,-,104,"Horror, Mystery, Thriller",7.7,484214,176.04
720,Mission: Impossible - Fallout,2018,147,"Action, Adventure, Thriller",7.7,286908,220.16
721,A Man Called Ove,2015,116,"Comedy, Drama, Romance",7.7,46345,3.36
722,What We Do in the Shadows,2014,86,"Comedy, Horror",7.7,155032,3.33
723,When Marnie Was There,2014,103,"Animation, Drama, Family",7.7,31833,0.77
724,The Theory of Everything,2014,123,"Biography, Drama, Romance",7.7,398698,35.89
725,Kingsman: The Secret Service,2014,129,"Action, Adventure, Comedy",7.7,585376,128.26
726,The Fault in Our Stars,2014,126,"Drama, Romance",7.7,341143,124.87
727,Me and Earl and the Dying Girl,2015,105,"Comedy, Drama",7.7,122046,6.74
728,Birdman or (The Unexpected Virtue of Ignorance),2014,119,"Comedy, Drama",7.7,574022,42.34
729,Blue Is the Warmest Colour,2013,180,"Drama, Romance",7.7,137246,2.2
730,Kai Po Che,2013,120,"Drama, Sport",7.7,31709,1.12
731,Captain America: The Winter Soldier,2014,136,"Action, Adventure, Sci-Fi",7.7,727927,259.77
732,Rockstar,2011,159,"Drama, Music, Musical",7.7,38949,0.99
733,Nebraska,2013,115,"Adventure, Comedy, Drama",7.7,111572,17.65
734,Wreck-It Ralph,2012,101,"Animation, Adventure, Comedy",7.7,376027,189.42
735,The Little Prince,2015,108,"Animation, Adventure, Drama",7.7,56044,1.34
736,Detachment,2011,98,Drama,7.7,76203,0.07
737,Midnight in Paris,2011,94,"Comedy, Fantasy, Romance",7.7,384520,56.82
738,The Lego Movie,2014,100,"Animation, Action, Adventure",7.7,321925,257.76
739,Gravity,2013,91,"Drama, Sci-Fi, Thriller",7.7,762952,274.09
740,Star Trek Into Darkness,2013,132,"Action, Adventure, Sci-Fi",7.7,460977,228.78
